Transaction_ID,Customer_ID,Amount,Transaction_Type,Province,Fraud
0,4174,447.2230827653719,Transfer,Gauteng,0
1,4507,557.0867502030529,Transfer,Gauteng,0
2,1860,976.5183722481995,Transfer,Gauteng,0
3,2294,28.833813686641076,Deposit,Limpopo,0
4,2130,529.4465545865303,Transfer,KZN,0
5,2095,963.3471251732403,Withdrawal,KZN,0
6,4772,171.55025206882252,Deposit,Gauteng,0
7,4092,202.4859213419723,Withdrawal,Limpopo,0
8,2638,933.2971955227587,Withdrawal,Limpopo,0
9,3169,1969.3708705866816,Transfer,Gauteng,0
10,1466,2691.384253371851,Withdrawal,KZN,0
11,2238,1185.524586399572,Deposit,Limpopo,0
12,1330,965.8185175415339,Transfer,Limpopo,0
13,2482,727.4458312269356,Deposit,Limpopo,0
14,3135,321.55260946891514,Deposit,Limpopo,0
15,4444,237.7235771189708,Withdrawal,Limpopo,0
16,4171,2354.579241911011,Withdrawal,Gauteng,0
17,3919,938.2513932323129,Deposit,Limpopo,0
18,4735,2343.260836054292,Transfer,Gauteng,0
19,1130,1826.5145860565485,Deposit,Gauteng,0
20,2685,323.31360949650673,Withdrawal,Gauteng,0
21,4380,1070.9657315802026,Deposit,Gauteng,0
22,1769,880.5253440165781,Withdrawal,Gauteng,0
23,3391,827.1420523725145,Deposit,Gauteng,0
24,2515,1173.2005576992296,Withdrawal,Limpopo,1
25,4485,6032.915945792919,Deposit,KZN,0
26,3853,2514.1728601488094,Withdrawal,KZN,0
27,3433,3510.6240918695353,Transfer,KZN,0
28,2215,45.131569142062794,Transfer,Limpopo,0
29,1955,226.82113563139126,Transfer,Gauteng,0
30,3324,132.85942833366204,Transfer,KZN,0
31,2184,458.2213134509176,Deposit,KZN,0
32,1459,874.8055026483651,Deposit,Limpopo,0
33,4385,1541.0565601691515,Withdrawal,KZN,0
34,1021,1042.2166450111424,Deposit,Gauteng,0
35,3300,3502.4131953769984,Deposit,KZN,0
36,1747,4216.51936304788,Withdrawal,KZN,0
37,3904,267.83070769511926,Deposit,Gauteng,0
38,4632,2875.095732659321,Transfer,Limpopo,0
39,1474,985.8658421757362,Transfer,Limpopo,0
40,2082,905.8634732904538,Deposit,Gauteng,0
41,3558,2305.2527858481626,Deposit,Gauteng,0
42,4753,146.65163568677696,Withdrawal,Limpopo,0
43,3047,3211.887685587875,Deposit,Limpopo,0
44,4547,1666.923418084853,Transfer,Limpopo,0
45,3747,3122.304894057575,Withdrawal,Limpopo,0
46,1975,7798.40804079618,Withdrawal,Gauteng,0
47,2806,1094.730603344869,Withdrawal,Gauteng,0
48,1189,146.85292987380777,Deposit,Limpopo,0
49,4005,273.22531048835134,Deposit,Gauteng,0
50,3734,586.496448584814,Deposit,Gauteng,0
51,4005,163.9740628953854,Withdrawal,Limpopo,0
52,1562,2533.873307814379,Withdrawal,KZN,0
53,2899,528.3156393314661,Transfer,KZN,0
54,4638,5587.455737163189,Transfer,KZN,0
55,2267,1818.9726531870288,Deposit,Gauteng,1
56,3879,285.7066781322671,Deposit,KZN,0
57,2528,969.5174779062249,Transfer,Limpopo,0
58,4202,943.5249873075544,Transfer,KZN,0
59,4556,1017.4223106240528,Deposit,Limpopo,0
60,4890,1150.8080514681612,Deposit,Gauteng,0
61,1646,47.50395385301961,Deposit,Gauteng,0
62,3068,1738.9826285869756,Deposit,Limpopo,0
63,3888,1001.7800020128128,Transfer,KZN,0
64,3214,2347.883227601989,Deposit,Limpopo,0
65,2297,2533.9362399203405,Deposit,Limpopo,0
66,3435,393.089954038765,Transfer,Limpopo,0
67,1600,74.45192154791121,Transfer,Limpopo,0
68,3363,1822.216266982124,Deposit,KZN,0
69,3061,5708.982297045667,Deposit,Limpopo,0
70,1241,887.6684992810648,Withdrawal,Limpopo,0
71,3041,450.87299901334484,Deposit,KZN,0
72,3824,255.59877758811356,Deposit,KZN,0
73,4417,508.3485228219918,Transfer,Limpopo,0
74,3612,596.0658456048388,Deposit,Limpopo,0
75,3945,827.1452739178945,Deposit,KZN,0
76,2363,1598.0874391006396,Withdrawal,KZN,0
77,3139,478.579669233265,Deposit,Limpopo,0
78,2390,78.48299308699842,Deposit,Gauteng,0
79,4003,700.8797905202489,Transfer,Gauteng,0
80,2478,2903.059757420152,Withdrawal,Gauteng,0
81,4499,1034.7834380699908,Deposit,Gauteng,0
82,3556,5019.371812673824,Withdrawal,KZN,0
83,1775,1050.6249015990877,Deposit,Gauteng,0
84,1034,484.23621109278366,Deposit,Limpopo,0
85,3253,322.23116764444063,Transfer,KZN,0
86,4152,1778.82853419457,Deposit,KZN,0
87,2955,1153.0392017336535,Withdrawal,Gauteng,0
88,2585,1389.5075447615218,Withdrawal,Gauteng,0
89,4943,2110.522064815313,Deposit,Limpopo,0
90,4459,1941.4123716647014,Withdrawal,Limpopo,0
91,4073,66.49737540727855,Transfer,KZN,0
92,2021,2433.5712575646367,Withdrawal,KZN,0
93,4461,1141.186359353652,Withdrawal,Limpopo,0
94,3613,745.6516826691228,Deposit,Gauteng,0
95,2129,1156.726088480356,Withdrawal,Gauteng,0
96,4843,1421.8712156006006,Transfer,Limpopo,0
97,4893,242.9074292858276,Withdrawal,Gauteng,0
98,2500,810.4212900216125,Transfer,Gauteng,0
99,1702,613.2752192590343,Transfer,Gauteng,0
100,3449,,Transfer,KZN,0
101,3777,,Transfer,Limpopo,0
102,2579,,Withdrawal,Limpopo,0
103,1161,,Withdrawal,Gauteng,0
104,1201,,Deposit,Limpopo,0
105,2981,,Transfer,Limpopo,0
106,1995,,Deposit,KZN,0
107,3317,,Transfer,Limpopo,0
108,4934,,Transfer,Limpopo,0
109,1815,,Transfer,Limpopo,0
110,4342,,Withdrawal,Gauteng,0
111,1455,,Transfer,Gauteng,0
112,4533,,Transfer,Gauteng,0
113,4798,,Deposit,Gauteng,0
114,2275,,Transfer,KZN,0
115,2016,,Deposit,Gauteng,0
